"gel","Telomere_Sample_nb","Mean_TRF","Individual_Band","Individual_Treatment","Age","Site","Nestling_Fate","Exp_Year","Experiment","Capture_Date","Nest","Mass","Bill.Head","Flat_Wing","Blood_DNA_Sample_nb","yday","year","avgC_capture_day","maxC_capture_day","incubation_max_temp","incubation_avg_temp","incubation_below_18.5"
4,"T21N406",9.64,272108284,"Prev_Control",12,"Unit_2","Fledged",2021,"Carryover",2021-06-17,116,21.3,25.7,55,210707,168,2021,18.4814814814815,22.2222222222222,21.2962962962963,17.7703703703704,4
4,"T21N407",9.6,272108285,"Prev_Control",12,"Unit_2","Fledged",2021,"Carryover",2021-06-17,116,24.3,27.4,64,210708,168,2021,18.4814814814815,22.2222222222222,21.2962962962963,17.7703703703704,4
4,"T21N408",9.17,272108286,"Prev_Control",12,"Unit_2","Fledged",2021,"Carryover",2021-06-17,116,21.4,26.3,59,210709,168,2021,18.4814814814815,22.2222222222222,21.2962962962963,17.7703703703704,4
4,"T21N409",9.89,272108287,"Prev_Control",12,"Unit_2","Fledged",2021,"Carryover",2021-06-17,114,18.6,25.8,54,210710,168,2021,18.4814814814815,22.2222222222222,21.2962962962963,17.7703703703704,4
4,"T21N410",7.26,272108288,"Prev_Control",12,"Unit_2","Fledged",2021,"Carryover",2021-06-17,114,19.2,26,52,210711,168,2021,18.4814814814815,22.2222222222222,21.2962962962963,17.7703703703704,4
5,"T21N170",9.03,281174737,"Prev_Cort",12,"Unit_1","Fledged",2021,"Carryover",2021-06-11,360,21.8,25.8,51,210302,162,2021,22.3333333333333,25.5555555555556,22.5396825396825,18.6164021164021,4
5,"T21N172",7.01,281174739,"Prev_Cort",12,"Unit_1","Fledged",2021,"Carryover",2021-06-11,360,19.5,25.9,47.5,210304,162,2021,22.3333333333333,25.5555555555556,22.5396825396825,18.6164021164021,4
5,"T21N196",10.4,281128486,"Prev_Control",12,"Unit_2","Fledged",2021,"Carryover",2021-06-13,14,23.7,26.6,54,210398,164,2021,24.7777777777778,28.8888888888889,22.4444444444444,18.4395061728395,4
5,"T21N202",8.39,281174650,"Prev_Cort",12,"Unit_2","Fledged",2021,"Carryover",2021-06-13,103,21.3,26.2,55,210405,164,2021,24.7777777777778,28.8888888888889,22.4652777777778,18.4976851851852,4
5,"T21N206",10.48,281128495,"Prev_Cort",12,"Unit_2","Fledged",2021,"Carryover",2021-06-13,118,20.4,26.5,60,210409,164,2021,24.7777777777778,28.8888888888889,22.4444444444444,18.4395061728395,4
5,"T21N208",11.25,281128497,"Prev_Cort",12,"Unit_2","Fledged",2021,"Carryover",2021-06-13,118,23.3,26.5,54,210411,164,2021,24.7777777777778,28.8888888888889,22.4444444444444,18.4395061728395,4
5,"T21N228",11.1,272108104,"Prev_Control",12,"Unit_1","Fledged",2021,"Carryover",2021-06-14,309,22.2,25.6,61,210458,165,2021,20.3333333333333,24.4444444444444,22.1111111111111,18.2469135802469,4
5,"T21N290",8.77,281174486,"Prev_Cort",12,"Unit_2","Fledged",2021,"Carryover",2021-06-15,104,22.9,26.8,54,210524,166,2021,16.2962962962963,18.3333333333333,21.031746031746,17.4312169312169,4
5,"T21N335",9.17,272108273,"Prev_Control",12,"Unit_2","Fledged",2021,"Carryover",2021-06-16,109,20.7,26.6,59,210621,167,2021,16.3703703703704,19.4444444444444,21.9791666666667,18.3055555555556,4
5,"T21N411",9.84,272108289,"Prev_Control",12,"Unit_2","Fledged",2021,"Carryover",2021-06-17,114,19.5,26.5,52,210712,168,2021,18.4814814814815,22.2222222222222,21.2962962962963,17.7703703703704,4
5,"T21N412",9.94,272108290,"Prev_Control",12,"Unit_2","Fledged",2021,"Carryover",2021-06-17,114,21.4,27,55,210713,168,2021,18.4814814814815,22.2222222222222,21.2962962962963,17.7703703703704,4
5,"T21N413",10.05,272108291,"Prev_Control",12,"Unit_2","Fledged",2021,"Carryover",2021-06-17,114,17.1,24.5,43,210714,168,2021,18.4814814814815,22.2222222222222,21.2962962962963,17.7703703703704,4
5,"T21N436",7.53,272108292,"Prev_Control",12,"Unit_2","Fledged",2021,"Carryover",2021-06-18,126,21.4,25.7,56,210755,169,2021,22.7037037037037,26.1111111111111,22.9012345679012,19.2654320987654,4
5,"T21N437",8.09,272108293,"Prev_Control",12,"Unit_2","Fledged",2021,"Carryover",2021-06-18,126,20,25.9,55,210756,169,2021,22.7037037037037,26.1111111111111,22.9012345679012,19.2654320987654,4
5,"T21N438",7.98,272108294,"Prev_Cort",12,"Unit_2","Fledged",2021,"Carryover",2021-06-18,69,21,26.6,58,210757,169,2021,22.7037037037037,26.1111111111111,21.875,18.3564814814815,4
5,"T21N439",8.54,272108295,"Prev_Cort",12,"Unit_2","Fledged",2021,"Carryover",2021-06-18,69,22.4,27,59,210758,169,2021,22.7037037037037,26.1111111111111,21.875,18.3564814814815,4
5,"T21N440",9.36,272108296,"Prev_Cort",12,"Unit_2","Fledged",2021,"Carryover",2021-06-18,69,22.2,26.7,60,210759,169,2021,22.7037037037037,26.1111111111111,21.875,18.3564814814815,4
5,"T21N441",9.4,272108297,"Prev_Cort",12,"Unit_2","Fledged",2021,"Carryover",2021-06-18,69,23.1,26.5,63,210760,169,2021,22.7037037037037,26.1111111111111,21.875,18.3564814814815,4
5,"T21N442",9.75,288134954,"Prev_Control",12,"Unit_1","Fledged",2021,"Carryover",2021-06-18,313,20.9,25,56,210761,169,2021,22.7037037037037,26.1111111111111,21.3492063492063,17.9021164021164,4
5,"T21N443",8.99,288134955,"Prev_Control",12,"Unit_1","Fledged",2021,"Carryover",2021-06-18,313,20.6,25.5,59,210762,169,2021,22.7037037037037,26.1111111111111,21.3492063492063,17.9021164021164,4
5,"T21N444",9.05,288134956,"Prev_Control",12,"Unit_1","Fledged",2021,"Carryover",2021-06-18,313,20,25.4,53,210763,169,2021,22.7037037037037,26.1111111111111,21.3492063492063,17.9021164021164,4
